System_Ref,FIS_Provider_Name,Upload_to_FIDy,Level_1_Description,Level_2_Description,Level_3_Description
2124,High Trees Community Development Trust,FSD,SEND Local Offer,Activities and things to do,Parks and playgrounds
2124,High Trees Community Development Trust,FSD,Young People,Activities and things to do,Youth clubs
2124,High Trees Community Development Trust,FSD,Young People,Activities and things to do,Adventure play
2124,High Trees Community Development Trust,FSD,Young People,"Education, Schools and Learning",Support for young people out of education and employment
2124,High Trees Community Development Trust,FSD,Young People,Support and advice services,Mentoring
2183,Fulham Football Club Foundation,FSD,Families,Activities and things to do,Sports
2183,Fulham Football Club Foundation,FSD,SEND Local Offer,Activities and things to do,Sports
2183,Fulham Football Club Foundation,FSD,Young People,Activities and things to do,Sports
2202,King’s College Hospital Nhs Foundation Trust,FSD,Families,Health and well being,
2202,King’s College Hospital Nhs Foundation Trust,FSD,SEND Local Offer,Health and well being,
2202,King’s College Hospital Nhs Foundation Trust,FSD,Young People,Health and wellbeing,
2279,Rathbone Youth Service,FSD,Families,Activities and things to do,Youth clubs
2279,Rathbone Youth Service,FSD,SEND Local Offer,Activities and things to do,Youth clubs
2279,Rathbone Youth Service,FSD,Young People,Activities and things to do,Youth clubs
2312,Wyvil Language Centre,FSD,Families,"Education, Schools and Learning",Specialist Resource Base
2312,Wyvil Language Centre,FSD,SEND Local Offer,"Education, Schools and Learning",Primary Resource Bases
2321,Home-Start Lambeth,FSD,Families,Support and advice services,Parenting support in the early years
2321,Home-Start Lambeth,FSD,Families,Support and advice services,Services to support around domestic abuse
2321,Home-Start Lambeth,FSD,Families,Support and advice services,Support for young parents
2321,Home-Start Lambeth,FSD,SEND Local Offer,Support and advice services,Services to support around domestic abuse
2321,Home-Start Lambeth,FSD,SEND Local Offer,Support and advice services,Support for young parents
2321,Home-Start Lambeth,FSD,SEND Local Offer,Support and advice services,Parenting support
2619,Alford House Youth Club,FSD,Families,Activities and things to do,Youth clubs
2619,Alford House Youth Club,FSD,Families,Activities and things to do,"Music, dance and drama"
2619,Alford House Youth Club,FSD,Families,Activities and things to do,Sports
2619,Alford House Youth Club,FSD,SEND Local Offer,Activities and things to do,Youth clubs
2619,Alford House Youth Club,FSD,SEND Local Offer,Activities and things to do,"Music, dance and drama"
2619,Alford House Youth Club,FSD,SEND Local Offer,Activities and things to do,Sports
2619,Alford House Youth Club,FSD,Young People,Activities and things to do,Youth clubs
2619,Alford House Youth Club,FSD,Young People,Activities and things to do,"Music, dance and drama"
2619,Alford House Youth Club,FSD,Young People,Activities and things to do,Sports
2665,Hill Mead Primary School - Breakfast Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
2665,Hill Mead Primary School - Breakfast Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
2701,Special Educational Needs (SEND),FSD,Families,Support and advice services,Parenting support – SEND
2701,Special Educational Needs (SEND),FSD,SEND Local Offer,Support and advice services,Parenting support
2701,Special Educational Needs (SEND),FSD,SEND Local Offer,Support and advice services,"Lambeth Information, Advice and Support (IASS)"
2704,S.Y.C.T. Seniors Club,FSD,Families,Activities and things to do,Youth clubs
2704,S.Y.C.T. Seniors Club,FSD,Families,Activities and things to do,Holiday activities
2704,S.Y.C.T. Seniors Club,FSD,Families,Activities and things to do,Sports
2704,S.Y.C.T. Seniors Club,FSD,Families,Activities and things to do,Creative Arts and Multimedia
2704,S.Y.C.T. Seniors Club,FSD,SEND Local Offer,Activities and things to do,Youth clubs
2704,S.Y.C.T. Seniors Club,FSD,SEND Local Offer,Activities and things to do,Holiday activities
2704,S.Y.C.T. Seniors Club,FSD,SEND Local Offer,Activities and things to do,Sports
2704,S.Y.C.T. Seniors Club,FSD,SEND Local Offer,Activities and things to do,Creative Arts and Multimedia
2704,S.Y.C.T. Seniors Club,FSD,Young People,Activities and things to do,Youth clubs
2704,S.Y.C.T. Seniors Club,FSD,Young People,Activities and things to do,Holiday activities
2704,S.Y.C.T. Seniors Club,FSD,Young People,Activities and things to do,Sports
2704,S.Y.C.T. Seniors Club,FSD,Young People,Activities and things to do,Creative Arts and Multimedia
2821,Oasis Play After School Environmental Play,FSD,Families,Activities and things to do,Parks and playgrounds
2821,Oasis Play After School Environmental Play,FSD,SEND Local Offer,Activities and things to do,Parks and playgrounds
2821,Oasis Play After School Environmental Play,FSD,Young People,Activities and things to do,Parks and playgrounds
2900,Brixton Advice Centre,FSD,Families,Support and advice services,Money matters (benefits and debt)
2900,Brixton Advice Centre,FSD,SEND Local Offer,Support and advice services,Money matters (benefits and debt)
2913,Brockwell Park Community Greenhouses,FSD,Families,Activities and things to do,Holiday activities
2913,Brockwell Park Community Greenhouses,FSD,Families,Activities and things to do,Parks and playgrounds
2913,Brockwell Park Community Greenhouses,FSD,Families,Activities and things to do,Parent and toddler groups
2913,Brockwell Park Community Greenhouses,FSD,Families,"Education, Schools and Learning",Volunteering and work experience
2913,Brockwell Park Community Greenhouses,FSD,SEND Local Offer,Activities and things to do,Holiday activities
2913,Brockwell Park Community Greenhouses,FSD,SEND Local Offer,Activities and things to do,Parks and playgrounds
2913,Brockwell Park Community Greenhouses,FSD,SEND Local Offer,Activities and things to do,Parent and toddler groups
