System_Ref,FIS_Provider_Name,Level_1_Description,Upload_to_FIDy
6586,Holy Trinity Church Of England Primary School - Breakfast Club,SEND Local Offer,ECD
6587,Kings Avenue Primary School - Breakfast Club,Families,ECD
6587,Kings Avenue Primary School - Breakfast Club,SEND Local Offer,ECD
6588,Kings Avenue Primary School - After School Club,Families,ECD
6588,Kings Avenue Primary School - After School Club,SEND Local Offer,ECD
6589,Kingswood Primary School - Breakfast Club,Families,ECD
6589,Kingswood Primary School - Breakfast Club,SEND Local Offer,ECD
6590,Kingswood Primary School - After School Club,Families,ECD
6590,Kingswood Primary School - After School Club,SEND Local Offer,ECD
6591,Larkhall Children's Centre - Breakfast Club,Families,ECD
6591,Larkhall Children's Centre - Breakfast Club,SEND Local Offer,ECD
6592,Larkhall Children's Centre - After School Club,Families,ECD
6592,Larkhall Children's Centre - After School Club,SEND Local Offer,ECD
6602,St Andrew's Roman Catholic Primary - Sunrise Breakfast Club,Families,ECD
6602,St Andrew's Roman Catholic Primary - Sunrise Breakfast Club,SEND Local Offer,ECD
6603,Telferscot Primary School - Breakfast Club,Families,ECD
6603,Telferscot Primary School - Breakfast Club,SEND Local Offer,ECD
6606,Henry Cavendish Primary School  - Breakfast Club (Streatham),Families,ECD
6606,Henry Cavendish Primary School  - Breakfast Club (Streatham),SEND Local Offer,ECD
6607,St Saviour's School - Breakfast Club,Families,ECD
6607,St Saviour's School - Breakfast Club,SEND Local Offer,ECD
6661,Explore Learning Brixton,Families,FSD
6704,Aurora House - Centre For Children With Autism,Families,FSD
6704,Aurora House - Centre For Children With Autism,SEND Local Offer,FSD
6712,Oasis Adventure Playground,Families,FSD
6712,Oasis Adventure Playground,SEND Local Offer,FSD
6712,Oasis Adventure Playground,Young People,FSD
6799,Children & Young People Services For Spanish/portuguese Speakers (5 To 19 Yrs Old),Families,FSD
6799,Children & Young People Services For Spanish/portuguese Speakers (5 To 19 Yrs Old),SEND Local Offer,FSD
6799,Children & Young People Services For Spanish/portuguese Speakers (5 To 19 Yrs Old),Young People,FSD
6805,Afewee Training Centre,Families,FSD
6805,Afewee Training Centre,SEND Local Offer,FSD
6805,Afewee Training Centre,Young People,FSD
6894,The Oasis Inclusion Project,Families,FSD
6894,The Oasis Inclusion Project,SEND Local Offer,FSD
6894,The Oasis Inclusion Project,Young People,FSD
6961,Streatham Leisure Centre Holiday Play Scheme,Families,FSD
6961,Streatham Leisure Centre Holiday Play Scheme,Young People,FSD
6962,YPM Childcare Provider at Granton,Families,ECD
6962,YPM Childcare Provider at Granton,SEND Local Offer,ECD
7068,Coin Street Young Leaders,Families,FSD
7068,Coin Street Young Leaders,SEND Local Offer,FSD
7068,Coin Street Young Leaders,Young People,FSD
7075,YPM Childcare Provider at Granton,Families,ECD
7075,YPM Childcare Provider at Granton,SEND Local Offer,ECD
7103,Pacca Out Of School Project,Families,FSD
7103,Pacca Out Of School Project,SEND Local Offer,FSD
7110,Pacca Out Of School Project,Families,FSD
7110,Pacca Out Of School Project,SEND Local Offer,FSD
7120,Young People Matter At The Old  Laundry - After School Club,Families,ECD
7120,Young People Matter At The Old  Laundry - After School Club,SEND Local Offer,ECD
7171,Brixton Recreation Centre,Families,FSD
7171,Brixton Recreation Centre,SEND Local Offer,FSD
7171,Brixton Recreation Centre,Young People,FSD
7200,Spiral Skills Cic,Young People,FSD
7240,Brixton Recreation Centre Play Scheme,Families,FSD
7240,Brixton Recreation Centre Play Scheme,SEND Local Offer,FSD
7242,Super Camps at Dunraven School,Families,FSD
7242,Super Camps at Dunraven School,SEND Local Offer,FSD
7244,Walnut Tree Walk Primary School - Breakfast Club,Families,ECD
7244,Walnut Tree Walk Primary School - Breakfast Club,SEND Local Offer,ECD
7245,Walnut Tree Walk Primary School - After School Club,Families,ECD
7245,Walnut Tree Walk Primary School - After School Club,SEND Local Offer,ECD
7252,Dewdrops Play Scheme/nursery - After School Club,Families,ECD
7252,Dewdrops Play Scheme/nursery - After School Club,SEND Local Offer,ECD
7253,Dewdrops Play Scheme/nursery - Breakfast Club,Families,ECD
7253,Dewdrops Play Scheme/nursery - Breakfast Club,SEND Local Offer,ECD
7254,Dewdrops Play Scheme/Nursery,Families,FSD
7254,Dewdrops Play Scheme/Nursery,SEND Local Offer,FSD
7260,Fit For Sport At Paxton Primary School - Breakfast Club,Families,ECD
7260,Fit For Sport At Paxton Primary School - Breakfast Club,SEND Local Offer,ECD
7261,Fit For Sport At Paxton Primary School - After School Club,Families,ECD
7261,Fit For Sport At Paxton Primary School - After School Club,SEND Local Offer,ECD
7263,Glenbrook Primary School - Breakfast Club,Families,FSD
7263,Glenbrook Primary School - Breakfast Club,SEND Local Offer,FSD
7264,Glenbrook Primary School - After School Club,Families,FSD
7264,Glenbrook Primary School - After School Club,SEND Local Offer,FSD
7268,St John's (Angell Town) Church Of England P S - Breakfast Club,Families,FSD
7268,St John's (Angell Town) Church Of England P S - Breakfast Club,SEND Local Offer,FSD
7272,St Andrew's Church Of England Primary School - Breakfast Club,Families,ECD
7272,St Andrew's Church Of England Primary School - Breakfast Club,SEND Local Offer,ECD
7273,St Andrew's Church Of England Primary School - After School Club,Families,ECD
