System_Ref,Name,Provider_Type_Description,First_Line,Second_Line,Third_Line,Locality,Town,Post_Code,Easting,Northing,Upload_to_FIDy
942,Loughborough Primary School - Breakfast Club,Breakfast Club,Loughborough Primary School,Minet Road,,,London,SW9 7UA,531716,176212,ECD
6135,Loughborough Primary School - Holiday Provision,Holiday Playscheme,Loughborough Primary School,Minet Road,,,London,SW9 7UA,531716,176212,FSD
883,Loughborough Primary School - After School Club,After School Club,Loughborough Primary School,Minet Road,,,London,SW9 7UA,531716,176212,ECD
7261,Fit For Sport At Paxton Primary School - After School Club,After School Club,Paxton Primary School,Woodland Road,,,London,SE19 1PA,533512,170963,ECD
7260,Fit For Sport At Paxton Primary School - Breakfast Club,Breakfast Club,Paxton Primary School,Woodland Road,,,London,SE19 1PA,533512,170963,ECD
6132,Richard Atkins Primary School - Breakfast Club,Breakfast Club,Richard Atkins School,New Park Road,,,London,SW2 4JP,530256,173786,ECD
988,Rosendale Primary School Breakfast Club,Breakfast Club,Rosendale Primary School,Rosendale Road,,,London,SE21 8LR,532266,173633,ECD
901,Rosendale Primary School After School Club,After School Club,Rosendale Primary School,Rosendale Road,,,London,SE21 8LR,532200,173500,ECD
903,Stockwell Primary School - After School Club,After School Club,Stockwell Primary School,Stockwell Road,,,London,SW9 9TG,530800,175800,ECD
6130,Stockwell Primary School - Breakfast Club,Breakfast Club,Stockwell Primary School,Stockwell Road,,,London,SW9 9TG,530800,175800,ECD
961,Streatham Wells Primary School - Breakfast Club,Breakfast Club,Streatham Wells Primary School,50 Palace Road,,,London,SW2 3NJ,531067,172913,ECD
6129,Streatham Wells Primary School - After School Club,After School Club,Streatham Wells Primary School,50 Palace Road,,,London,SW2 3NJ,531067,172913,ECD
6024,Sudbourne Primary School - Breakfast Club,Breakfast Club,Sudbourne Primary School,Hayter Road,,,London,SW2 5AP,530757,174948,ECD
6029,Sunnyhill Primary School - Breakfast Club,Breakfast Club,Sunnyhill Primary School,Sunnyhill Road,,,London,SW16 2UW,530786,171686,ECD
10333,Sunnyhill Primary School - After School Club,After School Club,Sunnyhill Primary School,Sunnyhill Road,,,London,SW16 2UW,530786,171686,FSD
890,Telferscot Primary School - After School Club,After School Club,Telferscot Primary School,Telferscot Road,,,London,SW12 0HW,529592,173220,ECD
6603,Telferscot Primary School - Breakfast Club,Breakfast Club,Telferscot Primary School,Telferscot Road,,,London,SW12 0HW,529592,173220,ECD
1517,Vauxhall Primary School - Breakfast Club,Breakfast Club,Vauxhall Primary School,Vauxhall Street,,,London,SE11 5LG,530782,178344,FSD
7244,Walnut Tree Walk Primary School - Breakfast Club,Breakfast Club,Walnut Tree Walk Primary School,Walnut Tree Walk,,,London,SE11 6DS,531067,178910,ECD
7245,Walnut Tree Walk Primary School - After School Club,After School Club,Walnut Tree Walk Primary School,Walnut Tree Walk,,,London,SE11 6DS,531067,178910,ECD
7700,Dunraven Slcn Resource Base,Resource Base,94 - 98 Leigham Court Road,,,,London,SW16 2QB,530798,172133,FSD
7704,The Elmgreen School Hearing Impairment Resource Base,Resource Base,The Elmgreen School,Elmcourt Road,,,London,SE27 9BZ,531800,172700,FSD
7286,La Retraite Rc Girls School - After School Club,After School Club,La Retraite Catholic School For Girls,Atkins Road,,,London,SW12 0AB,529018,173735,FSD
7705,London Nautical Asd Resource Base,Resource Base,The London Nautical School,61 Stamford Street,,,London,SE1 9NA,531300,180300,FSD
9393,The Norwood School Breakfast Club,Breakfast Club,Norwood School,Crown Dale,,,London,SE19 3NY,532224,171065,FSD
802,Elm Court School,Special Schools,Elm Court School,Elm Park,,,London,SW2 2EF,530936,173802,ECD
803,Lansdowne School,Special Schools,Lansdowne School,49 Combermere Road,,,London,SW9 9QD,530712,175870,ECD
804,The Michael Tippett School,Special Schools,The Michael Tippett School,Heron Road,,,London,SE24 0HZ,532044,175325,FSD
805,Turney Primary And Secondary Special School,Special Schools,Turney School,Turney Road,,,London,SE21 8LX,532284,173718,ECD
7240,Brixton Recreation Centre Play Scheme,Holiday Provision,27 Brixton Station Road,,,,London,SW9 8QQ,531172,175560,FSD
