System_Ref,FIS_Provider_Name,Upload_to_FIDy,Level_3_Description
7286,La Retraite Rc Girls School - After School Club,FSD,Breakfast and after school clubs
7315,Alifya Education Limited,FSD,Specialist Resource Base
7327,Saint Gabriel's College - Breakfast Club,ECD,Breakfast and after school clubs
7333,South Central Youth Ltd,FSD,"Sexual abuse, exploitation and FGM"
7333,South Central Youth Ltd,FSD,Early help
7333,South Central Youth Ltd,FSD,Mentoring
7333,South Central Youth Ltd,FSD,Support for young people out of education and employment
7333,South Central Youth Ltd,FSD,Mental health and well being
7337,Kings College Hospital School,ECD,Special schools
7351,Women’s Aid (Domestic And Sexual Violence Advice & Counselling Services),FSD,Services to support around domestic abuse
7352,Papa's Park And Cafe - Open Access Playground,FSD,Parks and playgrounds
7412,Keen London,FSD,Sports
7421,Care Trade - The School House Cafe,FSD,Volunteering and work experience
7427,Oasis Nature Garden,FSD,Parks and playgrounds
7433,Coin Street Youth Night,FSD,Youth clubs
7438,Coin Street  Access Fitness - Young People 12 - 21 Year Olds,FSD,Youth clubs
7438,Coin Street  Access Fitness - Young People 12 - 21 Year Olds,FSD,Sports
7440,Coin Street Under 20's Antenatal Group,FSD,Support for young parents
7527,Fight 4 Change @ Black Prince Hub,FSD,Sports
7553,Florence Nightingale Museum,FSD,Museums
7583,Explore Learning Nine Elms,FSD,Out of school tuition
7587,Dyspraxia Foundation,FSD,Parenting support – SEND
7587,Dyspraxia Foundation,FSD,Parenting support
7588,Rainbow Trust Children's Charity,FSD,Complex health needs
7588,Rainbow Trust Children's Charity,FSD,Other specialist health needs
7589,The Communication Trust,FSD,Parenting support – SEND
7589,The Communication Trust,FSD,Parenting support
7591,The Children's Trust,FSD,Parenting support – SEND
7591,The Children's Trust,FSD,Complex health needs
7591,The Children's Trust,FSD,Other specialist health needs
7591,The Children's Trust,FSD,Parenting support
7605,YPM After-School Club At St John's Angell Town,FSD,Breakfast and after school clubs
7618,Disability Sports Club (DSC),FSD,Sports
7620,National Deaf Children Society Helpline,FSD,Parenting support – SEND
7620,National Deaf Children Society Helpline,FSD,Hearing and visual impairment
7620,National Deaf Children Society Helpline,FSD,Parenting support
7624,Kids London S.E.N.D. Mediation Service,FSD,
7624,Kids London S.E.N.D. Mediation Service,FSD,Parenting support – SEND
7624,Kids London S.E.N.D. Mediation Service,FSD,Parenting support
7624,Kids London S.E.N.D. Mediation Service,FSD,Early help
7625,Music Therapy Lambeth,ECD,
7630,Community Speech And Language Therapy,FSD,Speech and language support
7631,Community Occupational Therapy,FSD,General health needs
7632,Community Physiotherapy Service,FSD,Complex health needs
7633,Community Paediatricians,FSD,General health needs
7635,Lambeth Information And Advice Support Service (IASS) For Children And Young People,FSD,
7635,Lambeth Information And Advice Support Service (IASS) For Children And Young People,FSD,"Lambeth Information, Advice and Support (IASS)"
7650,Royal Society For Blind Children,FSD,Holiday activities
7650,Royal Society For Blind Children,FSD,Parenting support – SEND
7650,Royal Society For Blind Children,FSD,Hearing and visual impairment
7650,Royal Society For Blind Children,FSD,Parenting support
7650,Royal Society For Blind Children,FSD,Physical health
7656,Disability Register And Liberty Card,FSD,Parenting support – SEND
7656,Disability Register And Liberty Card,FSD,Support for learning disabilities
7656,Disability Register And Liberty Card,FSD,"Lambeth Information, Advice and Support (IASS)"
7658,Lambeth Information Advice And Support Service (IASS) For Parents Or Carers,FSD,
7658,Lambeth Information Advice And Support Service (IASS) For Parents Or Carers,FSD,"Lambeth Information, Advice and Support (IASS)"
7670,Health Visiting Service (North),FSD,Health Visiting Services
7671,Assistive Communication Service,FSD,Complex health needs
7672,Ambitious About Autism,FSD,Support for young parents
7672,Ambitious About Autism,FSD,Parenting support – SEND
7672,Ambitious About Autism,FSD,Parenting support
7672,Ambitious About Autism,FSD,Support for learning disabilities
7688,Lifelong Family Links,FSD,Parenting support – SEND
7688,Lifelong Family Links,FSD,Parenting support
7688,Lifelong Family Links,FSD,Support for learning disabilities
7691,Allen Edwards Speech And Language Resource Base,FSD,Specialist Resource Base
7691,Allen Edwards Speech And Language Resource Base,FSD,Primary Resource Bases
7698,Archbishop Sumner Speech And Language Resource Base,FSD,Specialist Resource Base
7698,Archbishop Sumner Speech And Language Resource Base,FSD,Primary Resource Bases
7699,Crown Lane Resource Base,FSD,Specialist Resource Base
7699,Crown Lane Resource Base,FSD,Primary Resource Bases
7700,Dunraven Slcn Resource Base,FSD,Specialist Resource Base
7700,Dunraven Slcn Resource Base,FSD,Primary Resource Bases
7700,Dunraven Slcn Resource Base,FSD,Secondary Resource Bases
7701,Jubilee Hearing Impairment Resource Base,FSD,Specialist Resource Base
7701,Jubilee Hearing Impairment Resource Base,FSD,Primary Resource Bases
7702,Lark Hall Centre For Autism,FSD,Specialist Resource Base
7702,Lark Hall Centre For Autism,FSD,Primary Resource Bases
7703,City Heights Asd Resource Base,FSD,Sixth forms and colleges
7703,City Heights Asd Resource Base,FSD,Specialist Resource Base
7703,City Heights Asd Resource Base,FSD,Secondary Resource Bases
7704,The Elmgreen School Hearing Impairment Resource Base,FSD,Specialist Resource Base
7704,The Elmgreen School Hearing Impairment Resource Base,FSD,Secondary Resource Bases
7705,London Nautical Asd Resource Base,FSD,Specialist Resource Base
7705,London Nautical Asd Resource Base,FSD,Secondary Resource Bases
